model,accuracy,precision,recall,f1,n_support
LogReg,0.7440476190476191,0.9444444444444444,0.7338129496402878,0.8259109311740891,
RandomForest,0.8392857142857143,0.8906976744186047,0.9184652278177458,0.9043683589138135,
SVM_RBF,0.8333333333333334,0.8520084566596194,0.9664268585131894,0.9056179775280899,553.0
