metric,target,pearson_r,spearman_r,n
kernel_alignment,accuracy,0.49161115275874134,0.3886865884857847,19
condition_number,accuracy,-0.7961747890722638,-0.5159556484324576,19
spectral_gap,accuracy,-0.806835302928985,-0.5836031667824908,19
effective_rank,accuracy,0.19433464145429347,0.17657148857466323,19
leading_eigen_ratio,accuracy,-0.24390120930623185,-0.2201410766645152,19
