model,accuracy,precision,recall,f1,n_support
LogReg,0.9230769230769231,0.9247311827956989,0.9555555555555556,0.9398907103825137,
RandomForest,0.9440559440559441,0.9456521739130435,0.9666666666666667,0.9560439560439561,
SVM_RBF,0.9370629370629371,0.9263157894736842,0.9777777777777777,0.9513513513513514,95.0
