feature_map,kernel_alignment,spectral_gap,condition_number,effective_rank,leading_eigen_ratio,diag_subset_n
z,0.005635051949242586,1.0586459146488028,223499059.5274128,2.0609444114420534,0.6150870154690428,250
zz,0.003894531666140545,9.7682706997819,1281714458.0213141,1.8216673738769567,0.7179245771331572,250
pauli_xyz,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
ry_custom,0.01634411112150739,1.3378673647704737,212378045.98492295,1.737177136556709,0.7113539216942297,250
