model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_splits
LogReg,0.7698402290560182,0.014896633244014489,0.9406381339318873,0.008896513095543231,0.7704000000000001,0.023596609926004222,0.8468148087736422,0.012188050680735736,5
SVM_RBF,0.8247328044062684,0.011029431230922286,0.8383102888550447,0.011831892901560758,0.9768000000000001,0.02216303228351213,0.9020602605635302,0.006789034480853462,5
RandomForest,0.8379428671343956,0.01660916998391053,0.8793757320762374,0.010780038025224882,0.932,0.019390719429665276,0.9048054846804865,0.010039059828012502,5
