model,pca_components,qubits,explained_variance,accuracy,n_support
SVM_RBF,2,0,0.9988931585666949,0.8214285714285714,
QKernel_Pauli_Pegasos,2,2,0.9988931585666949,0.8273809523809523,44.0
QKernel_Pauli_Pegasos,2,3,0.9988931585666949,0.8273809523809523,44.0
SVM_RBF,3,0,0.9999999712753175,0.8273809523809523,
QKernel_Pauli_Pegasos,3,2,0.9999999712753175,0.8273809523809523,44.0
QKernel_Pauli_Pegasos,3,3,0.9999999712753175,0.8273809523809523,44.0
SVM_RBF,4,0,0.9999999860409473,0.8253968253968254,
QKernel_Pauli_Pegasos,4,2,0.9999999860409473,0.8273809523809523,44.0
QKernel_Pauli_Pegasos,4,3,0.9999999860409473,0.8273809523809523,44.0
