model,accuracy,precision,recall,f1,n_support
LogReg,0.7619047619047619,0.8578313253012049,0.8537170263788969,0.8557692307692307,
RandomForest,0.8115079365079365,0.8626126126126126,0.9184652278177458,0.8896631823461092,
SVM_RBF,0.8214285714285714,0.8276553106212425,0.9904076738609112,0.9017467248908297,539.0
