model,accuracy,precision,recall,f1,n_support
LogReg,0.7261904761904762,0.9634551495016611,0.6954436450839329,0.807799442896936,
RandomForest,0.8392857142857143,0.8906976744186047,0.9184652278177458,0.9043683589138135,
SVM_RBF,0.8313492063492064,0.8443983402489627,0.9760191846522782,0.9054505005561735,544.0
