model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_splits
LogReg,0.770482809870391,0.014147408767460097,0.85365498974503,0.006130484063085319,0.8720000000000001,0.022449944320643667,0.8625781579561552,0.009942961787031931,5
SVM_RBF,0.8214237317771513,0.006773199917428558,0.8279896763575412,0.0023834670578942486,0.9896,0.010430723848324247,0.9015856984968131,0.004163356787073919,5
RandomForest,0.8260769785587831,0.027694719691248787,0.8619489837697634,0.006797569697089644,0.9399999999999998,0.030199337741082976,0.8991734244184935,0.017291651424327033,5
