noise_prob,accuracy,k_min,k_mean,k_max,shots,subset_n
0.0,0.8095238095238095,0.7680581246931979,0.9824385028951499,1.0000000000023972,512,30
0.01,0.8154761904761905,0.6210937499999996,0.8183680555555561,1.0000000000000049,512,30
0.03,0.8273809523809523,0.45507812500000244,0.6013715277777786,1.0000000000000049,512,30
0.05,0.8273809523809523,0.35351562499999956,0.4743836805555557,1.0000000000000064,512,30
0.1,0.8273809523809523,0.2460937500000004,0.3362890624999996,1.0000000000000044,512,30
