dataset,noise_prob,accuracy,k_min,k_mean,k_max,shots,subset_n,runtime_sec
liar,0.001,0.644,0.050842856662817945,0.6689820845339642,0.999,128,30,0.011829137802124023
liar,0.005,0.644,0.05063928166116502,0.6663034775888834,0.995,128,30,0.005667686462402344
liar,0.01,0.644,0.05038481290909886,0.6629552189075322,0.99,128,30,0.004157304763793945
liar,0.02,0.644,0.049875875404966546,0.6562587015448299,0.98,128,30,0.004513740539550781
