dataset,noise_prob,accuracy,k_min,k_mean,k_max,shots,subset_n,runtime_sec
welfake,0.001,0.844,0.104377527004595,0.6359810269932504,0.999,128,30,0.004380941390991211
welfake,0.005,0.844,0.10395959896854057,0.6334345564146988,0.995,128,30,0.004106044769287109
welfake,0.01,0.844,0.10343718892347253,0.6302514681915095,0.99,128,30,0.004338979721069336
welfake,0.02,0.844,0.10239236883333644,0.6238852917451306,0.98,128,30,0.004603862762451172
